"typ";"quelle_url";"bild_url";"alt_text"
"news";"https://www.deinbier-allgaeu.de/10-jahre-dein-bier/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2026/07/DSC_4172-1080x675.jpg";"<ALT LEER>"
"news";"https://www.deinbier-allgaeu.de/adventmaerkte/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2023/11/Collage-Adventmarkt-1080x675.jpg";"<ALT LEER>"
"news";"https://www.deinbier-allgaeu.de/adventsmaerkte/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2022/11/20201114_1705121-1080x675.jpg";"<ALT LEER>"
"news";"https://www.deinbier-allgaeu.de/alles-fuer-die-party/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2022/07/Partyfass_22-1080x675.jpg";"Sommerzeit 'Party-Fässer' Zeit DEINBIER"
"news";"https://www.deinbier-allgaeu.de/biergarten-28-juni-2025/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2025/06/P1190251-1080x675.jpg";"<ALT LEER>"
"news";"https://www.deinbier-allgaeu.de/bierpreiserhoehung-noetig/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2021/03/DSC_8350-1080x675.jpg";"Dein Bier, Hausen 3, 87665 Mauerstetten"
"news";"https://www.deinbier-allgaeu.de/bock-auf-bock-2/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2023/03/Montage_Bierflasche-Bockbier-1080x675.png";"<ALT LEER>"
"news";"https://www.deinbier-allgaeu.de/bockbieranstich/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2025/03/Plakat2025-1080x675.jpg";"<ALT LEER>"
"news";"https://www.deinbier-allgaeu.de/brauseminare-fuer-gruppen/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2022/02/Brauseminar_3-1080x675.jpg";"Gemeinsames Bierbrauen mit Freunden"
"news";"https://www.deinbier-allgaeu.de/brauseminare/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2022/02/Brauseminar_5-1080x675.jpg";"Gemeinsames Bierbrauen mit Freunden"
"news";"https://www.deinbier-allgaeu.de/danke-an-alle-teilnehmer/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2022/09/beer-g3fcf3a660_1920-1080x675.jpg";"Dein Bier"
"news";"https://www.deinbier-allgaeu.de/das-beste-zum-feste/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2025/12/Einlag-Winterspezialitaeten-1080x675.jpg";"<ALT LEER>"
"news";"https://www.deinbier-allgaeu.de/das-kleine-faesschen/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2024/06/20240615_122331-1080x675.jpg";"<ALT LEER>"
"news";"https://www.deinbier-allgaeu.de/dein-bier-gibts-hier/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2022/01/Rund-Hell-800x675.png";"<ALT LEER>"
"news";"https://www.deinbier-allgaeu.de/dein-bier-hell-alkoholfrei/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2025/06/20250617_190154-1080x675.jpg";"<ALT LEER>"
"news";"https://www.deinbier-allgaeu.de/endlich-wieder-eigenes-bier-brauen-lernen/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2022/02/Brauseminar_5-1080x675.jpg";"Gemeinsames Bierbrauen mit Freunden"
"news";"https://www.deinbier-allgaeu.de/fastenzeit-ist-starkbierzeit/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2023/03/Montage_Bierflasche-Bockbier-1080x675.png";"<ALT LEER>"
"news";"https://www.deinbier-allgaeu.de/freie-plaetze-brauseminar-am-08-06-2024/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2022/02/Brauseminar_5-1080x675.jpg";"Gemeinsames Bierbrauen mit Freunden"
